icon_filename,inferred_unit_key,status,non_tow_corps_keys,non_tow_corps_names,tow_keys,unit_names,original_pack,original_internal_icon_path,original_extracted_path,original_sha256
austria_gen_staff_010_0_0520_icon.tga,ntw3_gen_staff_010_0_0520,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0520_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0520_icon.tga,0abfb4f6b0a6bd281f4dfcb1f7b455059310ad3289d1e9ec127cb1aaa4c45c7c
austria_gen_staff_010_0_0528_icon.tga,ntw3_gen_staff_010_0_0528,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0528_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0528_icon.tga,ee192387dd2a3741647dd31a7986d4d5f33a6dc87a93ca64ff449888f8b73183
austria_gen_staff_010_0_0531_icon.tga,ntw3_gen_staff_010_0_0531,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0531_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0531_icon.tga,4c3c79bcb8f54384017b1d7275fdbb3623c1f3c6fe08c9eede53dcf722dccd1e
austria_gen_staff_010_0_0532_icon.tga,ntw3_gen_staff_010_0_0532,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0532_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0532_icon.tga,0dec5ac75efb7da810471abb631bdbbb25ede8c3c8231baf16dc86b6848b90c4
austria_gen_staff_010_0_0534_icon.tga,ntw3_gen_staff_010_0_0534,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0534_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0534_icon.tga,e4e4622a642b394714ce72fe4e2a1c208dab2ed55913acb78a4d278eaf3ac6fb
austria_gen_staff_010_0_0535_icon.tga,ntw3_gen_staff_010_0_0535,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_0_0535_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_0_0535_icon.tga,59d028cb82ea6b1738db72ef6bbf4e15de26ad67390a5f2eac84cfdcd82ee45d
austria_gen_staff_010_1_0522_icon.tga,ntw3_gen_staff_010_1_0522,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_1_0522_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_1_0522_icon.tga,0cfe9db39ed4087eb6d093875dedd33a8a8fa801fd638195c911761f323964de
austria_gen_staff_010_1_0533_icon.tga,ntw3_gen_staff_010_1_0533,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_1_0533_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_1_0533_icon.tga,8abb8acafc08421039192988e38787bb79360f52635af5309275768d3e4f9301
austria_gen_staff_010_2_0523_icon.tga,ntw3_gen_staff_010_2_0523,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_2_0523_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_2_0523_icon.tga,7cdf30840e40c3030a65732c86f5d706b894f4da11d41bc7dc6b9c6a6d60a7c4
austria_gen_staff_010_2_0526_icon.tga,ntw3_gen_staff_010_2_0526,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_2_0526_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_2_0526_icon.tga,c56c6687fe89b36cef823904bc8c6b5253976eb20be9a25303adcadaf581788c
austria_gen_staff_010_2_0527_icon.tga,ntw3_gen_staff_010_2_0527,not_referenced_by_allowed_corps_or_tow_rows,,,,,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/austria_gen_staff_010_2_0527_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/austria_gen_staff_010_2_0527_icon.tga,646ac24c82a99de405e6e66ccb3efddffc3085fdb77c94f7e3aca8cafe827027
